Year,Economy,Economy Label,Variable,Variable Label,Percentage of total business sector,Percentage of total business sector Footnote,Percentage of total business sector Missing value
2004,251,"France",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.52,"Value added at factor cost.",
2004,276,"Germany",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.3,,
2004,276,"Germany",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.23,"Value added at factor cost.",
2004,300,"Greece",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.9,,
2004,300,"Greece",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.9,"Value added at factor cost.",
2004,348,"Hungary",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.27,,
2004,348,"Hungary",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",14.11,"Value added at factor cost.",
2004,352,"Iceland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.92,,
2004,372,"Ireland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.8,,
2004,372,"Ireland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.8,"Value added at factor cost.",
2004,380,"Italy",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.06,,
2004,380,"Italy",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.42,"Value added at factor cost.",
2004,392,"Japan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.81,,
2004,428,"Latvia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.91,,
2004,428,"Latvia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.2,,
2004,440,"Lithuania",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.38,,
2004,440,"Lithuania",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.39,"Value added at factor cost.",
2004,458,"Malaysia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.86,,
2004,528,"Netherlands (Kingdom of the)",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.82,,
2004,528,"Netherlands (Kingdom of the)",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.8,"Value added at factor cost.",
2004,579,"Norway",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.36,,
2004,579,"Norway",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",11.84,"Value added at factor cost.",
2004,616,"Poland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.35,,
2004,616,"Poland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",3.04,"Value added at factor cost.",
2004,620,"Portugal",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.6,,
2004,620,"Portugal",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",3.87,"Value added at factor cost.",
2004,642,"Romania",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.74,,
2004,642,"Romania",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.09,,
2004,643,"Russian Federation",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",3.98,,
2004,688,"Serbia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",,,"Not applicable"
2004,688,"Serbia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",,,"Not applicable"
2004,703,"Slovakia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.48,,
2004,703,"Slovakia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.01,"Value added at factor cost.",
2004,705,"Slovenia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.41,,
2004,705,"Slovenia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.63,"Value added at factor cost.",
2004,724,"Spain",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.89,,
2004,752,"Sweden",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",8.41,,
2004,752,"Sweden",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",11.76,"Value added at factor cost.",
2004,926,"United Kingdom",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.97,,
2005,036,"Australia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.64,,
2005,036,"Australia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.05,,
2005,031,"Azerbaijan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",1.42,,
2005,060,"Bermuda",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.71,,
2005,060,"Bermuda",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.35,,
2005,124,"Canada",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.7,"Data include self-employed jobs.",
2005,196,"Cyprus",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.18,,
2005,196,"Cyprus",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.92,,
2005,251,"France",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.53825,,
2005,300,"Greece",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.97682,"Data not available for G5151; G5152 and 7123. ",
2005,300,"Greece",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.94456,"Data not available for G5151; G5152 and 7123. ",
2005,352,"Iceland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.2,,
2005,352,"Iceland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.29,,
2005,392,"Japan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.75,,
2005,392,"Japan",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.4,,
2005,428,"Latvia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.96,,
2005,428,"Latvia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.04,,
2005,458,"Malaysia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",7.27,,
2005,458,"Malaysia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",13.06,,
2005,554,"New Zealand",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.76,,
2005,620,"Portugal",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.59462,,
2005,620,"Portugal",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.07028,,
2005,642,"Romania",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3,,
2005,642,"Romania",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.84,,
2005,643,"Russian Federation",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.38,,
2005,643,"Russian Federation",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.07,,
2005,688,"Serbia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",,,"Not applicable"
2005,688,"Serbia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",,,"Not applicable"
2005,724,"Spain",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.14,"Value added at factor cost.",
2005,752,"Sweden",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",8.73368,,
2005,752,"Sweden",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.78246,,
2005,757,"Switzerland, Liechtenstein",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.04,,
2005,926,"United Kingdom",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.06,"Value added at factor cost.",
2005,858,"Uruguay",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.93,,
2006,036,"Australia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.97838,,
2006,036,"Australia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.0839,,
2006,040,"Austria",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.36922,,
2006,040,"Austria",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.8147,,
2006,031,"Azerbaijan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",1.68,,
2006,031,"Azerbaijan",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",2.38,,
2006,056,"Belgium",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.91242,"Data not available for K7123.",
2006,056,"Belgium",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.64682,"Data not available for K7123.",
2006,060,"Bermuda",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.77,,
2006,060,"Bermuda",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.26,,
2006,076,"Brazil",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.99,,
2006,076,"Brazil",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.28,,
2006,124,"Canada",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.42,,
2006,124,"Canada",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.62158,,
2006,344,"China, Hong Kong SAR",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.81,,
2006,192,"Cuba",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.82,,
2006,192,"Cuba",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.49,,
2006,203,"Czechia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.67546,"Data not available for G5151; G5152 and 7123. ",
2006,203,"Czechia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.54395,"Data not available for G5151; G5152 and 7123. ",
2006,208,"Denmark",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",7.04735,,
2006,208,"Denmark",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.93327,,
2006,818,"Egypt",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.62,,
2006,246,"Finland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",9.80369,,
2006,246,"Finland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",14.78489,,
2006,251,"France",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.92083,,
2006,276,"Germany",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.58587,"Data not available for K7123.",
2006,276,"Germany",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.92108,"Data not available for K7123.",
2006,348,"Hungary",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.3321,"Data not available for K7123.",
2006,348,"Hungary",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.94888,"Data not available for K7123.",
2006,372,"Ireland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",8.32577,,
2006,372,"Ireland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.14484,,
2006,376,"Israel",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",8.4,,
2006,376,"Israel",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",16.75,,
2006,380,"Italy",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.32094,,
2006,380,"Italy",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.48006,,
2006,392,"Japan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.78,,
2006,392,"Japan",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.73,,
2006,398,"Kazakhstan",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.31,,
2006,410,"Korea, Republic of",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.17813,,
2006,410,"Korea, Republic of",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",13.68658,,
2006,480,"Mauritius",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.21,,
2006,480,"Mauritius",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.1,,
2006,496,"Mongolia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.4,,
2006,528,"Netherlands (Kingdom of the)",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.30754,,
2006,528,"Netherlands (Kingdom of the)",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.19925,,
2006,554,"New Zealand",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.36,,
2006,579,"Norway",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.88922,,
2006,579,"Norway",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.34466,,
2006,591,"Panama",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.66,,
2006,620,"Portugal",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.20001,"Data not available for K7123.",
2006,643,"Russian Federation",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.86,"Estimates.",
2006,643,"Russian Federation",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.83,,
2006,688,"Serbia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",,,"Not applicable"
2006,688,"Serbia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",,,"Not applicable"
2006,724,"Spain",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.90316,,
2006,724,"Spain",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.74524,,
2006,764,"Thailand",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.03,,
2006,926,"United Kingdom",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.85128,,
2007,076,"Brazil",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.1,"Formal remunerated employment. Data from Porcaro and Jorge (2011) and Orbicom (2011).",
2007,076,"Brazil",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.02215,"Data from Porcaro and Jorge (2011) and Orbicom (2011).",
2007,124,"Canada",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.75,"Data include self-employed jobs.",
2007,344,"China, Hong Kong SAR",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.63,,
2007,344,"China, Hong Kong SAR",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.55,,
2007,191,"Croatia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",1.91,,
2007,191,"Croatia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",3.04,,
2007,192,"Cuba",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.65,,
2007,192,"Cuba",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.11,,
2007,376,"Israel",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",8.62,,
2007,376,"Israel",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",16.33,,
2007,392,"Japan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.91,,
2007,392,"Japan",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.64,,
2007,398,"Kazakhstan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.5,,
2007,458,"Malaysia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",7.11,,
2007,458,"Malaysia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.12,,
2007,480,"Mauritius",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.18,,
2007,480,"Mauritius",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.2,"Provisional.",
2007,484,"Mexico",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.37,,
2007,484,"Mexico",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.36,,
2007,496,"Mongolia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",0.91,,
2007,554,"New Zealand",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.07,,
2007,620,"Portugal",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.98686,"Data not available for K7123.",
2007,643,"Russian Federation",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.59,,
2007,643,"Russian Federation",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.05,,
2007,688,"Serbia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",,,"Not applicable"
2007,688,"Serbia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",,,"Not applicable"
2007,702,"Singapore",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.44,,
2007,757,"Switzerland, Liechtenstein",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.05,"Data refer to full time employed.",
2007,764,"Thailand",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.2,,
2007,842,"United States of America",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.91,,
2007,842,"United States of America",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.09,"Estimates. GDP excluding gross value added of households; institutions and of general government.",
2007,858,"Uruguay",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.93,,
2007,858,"Uruguay",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.47,,
2008,036,"Australia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.66029,"Data not available for K7123.",
2008,036,"Australia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.71532,"Data not available for K7123.",
2008,040,"Austria",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.71,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,040,"Austria",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.34,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,056,"Belgium",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.99446,"Data not available for K7123.",
2008,056,"Belgium",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.1158,"Data not available for K7123.",
2008,100,"Bulgaria",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.99,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,100,"Bulgaria",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.79,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,124,"Canada",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.55709,,
2008,344,"China, Hong Kong SAR",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.13,,
2008,344,"China, Hong Kong SAR",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.66,,
2008,191,"Croatia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.97,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,191,"Croatia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.85,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,203,"Czechia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.84543,"Data not available for K7123.",
2008,203,"Czechia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.99329,"Data not available for K7123.",
2008,208,"Denmark",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",10.41,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,208,"Denmark",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",11.25,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,233,"Estonia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.28,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,233,"Estonia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.82,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,246,"Finland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",8.05,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,246,"Finland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",13.09,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,251,"France",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.02,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,251,"France",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.08,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,276,"Germany",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.58,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,276,"Germany",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.2,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,300,"Greece",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.76,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,300,"Greece",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.24,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,348,"Hungary",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.63,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,348,"Hungary",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.55,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,352,"Iceland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.74758,"Data not available for K7123.",
2008,356,"India",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.4,"Data exclude G5151 and G5152. Data from Malik and Mundhe (2011) and Orbicom (2011).",
2008,372,"Ireland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",7.49343,"Data not available for K7123.",
2008,372,"Ireland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",13.04395,,
2008,380,"Italy",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.52,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,380,"Italy",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",7.23,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,392,"Japan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",7.12,,
2008,392,"Japan",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.85,,
2008,400,"Jordan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.63,,
2008,398,"Kazakhstan",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",1.92,,
2008,410,"Korea, Republic of",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.10496,,
2008,410,"Korea, Republic of",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",12.18669,"Data not available for K7123.",
2008,428,"Latvia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.83,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,440,"Lithuania",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.36,"Number of persons employed in full time equivalent units.Total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,440,"Lithuania",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.91,"Value added at factor cost; total business economy includes repair of computers, personal and household goods; except financial and insurance activities.",
2008,442,"Luxembourg",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.95825,"Data not available for K7123.",
2008,442,"Luxembourg",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",6.95349,"Data not available for K7123.",
